nombre,apellido1,apellido2,sexo,fecha_nacimiento,ano_nacimiento,email,telefono,provincia,nif,d_aprendizaje,d_audicion,d_autocuidado,d_comunicacion,d_movilidad,d_relaciones_sociales,d_vida_domestica,d_vision,edad_en_dias,edad,enfermedad_terminal,enfermedad_terminal_en_dias,valoracion_usuario,fecha_cancelacion,id_provincia,id_usuario
Tatiana,Carretero,Jover,Mujer,1924-11-04,1924,dfrancisco@example.org,+34 924 15 51 87,Bizkaia,49509148-A,0,0,0,0,0,0,0,0,36200,99,No,0,50,,110,0050
Azahara,Alberola,Porcel,Mujer,1916-05-07,1916,guiomardieguez@example.net,+34 948 323 398,Asturias,12228054-U,0,0,0,0,0,0,0,0,39303,107,No,0,82,,105,0051
Cruz,Yuste,Rodriguez,Mujer,1954-02-21,1954,rocamoraalfonso@example.org,+34 888363982,Segovia,60504053-Z,0,0,0,60,0,0,0,0,25499,69,No,0,33,,143,0052
Elías,Prieto,Campos,Hombre,1930-02-15,1930,noa53@example.org,+34 973620929,Guadalajara,69785575-P,0,0,0,0,0,0,0,0,34271,93,No,0,16,,124,0053
Luis Ángel,Alcántara,Manzano,Hombre,1903-05-21,1903,nereida31@example.org,+34820 45 92 07,Cádiz,42127589-X,0,0,0,0,0,0,0,0,44038,120,No,0,64,,113,0054
Felix,Escrivá,Valencia,Hombre,1961-08-28,1961,sbarrio@example.org,+34 920 16 02 58,Álava,82302086-W,0,0,0,0,0,0,0,0,22754,62,No,0,45,,101,0055
Petrona,Amo,Cabrero,Mujer,1915-05-24,1915,tfabregas@example.net,+34 825 853 464,Salamanca,37578466-Q,0,0,0,0,0,0,0,0,39652,108,No,0,4,,141,0056
Arcelia,Querol,Revilla,Mujer,1914-08-02,1914,fabregasmaria-belen@example.com,+34 925 26 17 04,Sevilla,52053021-H,0,0,0,0,0,0,0,0,39947,109,No,0,91,,144,0057
Apolinar,Ávila,Carreño,Hombre,1945-09-23,1945,alfonso00@example.org,+34 946443728,Girona,34586890-A,0,0,0,0,0,0,0,0,28572,78,No,0,24,,122,0058
Ismael,Buendía,Granados,Hombre,1911-12-22,1911,reynaldo30@example.com,+34882 687 971,La Rioja,41973531-P,0,0,0,0,0,0,0,0,40901,111,No,0,63,,128,0059
Natividad,Alvarez,Velázquez,Mujer,1929-01-07,1929,gimenezarmando@example.org,+34915 193 558,Zamora,46985917-R,0,0,0,0,0,0,0,0,34675,94,No,0,11,,151,0060
Jose Miguel,Vera,Abellán,Hombre,1946-04-16,1946,serranofelicia@example.com,+34835716460,Córdoba,24848340-K,0,0,0,0,0,0,0,0,28367,77,No,0,80,,118,0061
Mamen,Hervia,Dalmau,Mujer,1940-11-05,1940,gironapriscila@example.com,+34973 09 33 23,Burgos,26533722-U,0,0,0,0,0,0,0,0,30355,83,No,0,30,,111,0062
Gisela,Rivero,Llopis,Mujer,1907-12-26,1907,ksanchez@example.org,+34 926 69 30 71,Cantabria,35105444-K,0,0,0,0,0,0,0,0,42358,115,No,0,45,,114,0063
Victoria,Castilla,Cerezo,Mujer,1924-06-22,1924,ssabater@example.org,+34 949 178 875,Segovia,60893595-J,0,0,0,0,0,0,0,0,36335,99,No,0,52,,143,0064
Prudencia,Piña,Quesada,Mujer,1951-08-16,1951,nzamora@example.com,+34842 54 60 52,Huelva,81933617-Z,0,0,0,0,0,0,0,0,26419,72,No,0,75,,125,0065
Marianela,Ibañez,Bayo,Mujer,1935-12-14,1935,isidorocanellas@example.net,+34 847 78 27 16,Álava,95674064-S,0,0,0,0,0,0,0,0,32143,88,No,0,68,,101,0066
Leocadio,Escrivá,Tejero,Hombre,1952-03-24,1952,puertamarta@example.net,+34 886 617 023,Asturias,11481955-R,0,0,0,0,0,0,0,0,26198,71,No,0,58,,105,0067
Calisto,Puente,Guitart,Hombre,1924-04-30,1924,maria-carmengallart@example.org,+34828 85 00 66,Murcia,66147631-R,0,0,0,0,0,0,0,0,36388,99,No,0,82,,135,0068
Trinidad,Nogueira,Ferrer,Hombre,1921-10-22,1921,leire85@example.com,+34 924 208 018,Madrid,65486636-U,0,0,0,0,0,0,0,0,37309,102,No,0,56,,132,0069
Carina,Castelló,Monreal,Mujer,1957-02-12,1957,quintanasarita@example.org,+34 872768234,Bizkaia,87623505-V,0,0,0,0,0,0,0,0,24412,66,No,0,91,,110,0070
Luís,Meléndez,Calvet,Hombre,1943-07-20,1943,gayaluis@example.org,+34 720867456,Salamanca,97153074-S,0,0,0,0,0,0,0,0,29368,80,No,0,39,,141,0071
Modesto,Tenorio,Castell,Hombre,1944-06-12,1944,emiliasegovia@example.net,+34960167988,Valladolid,77917488-M,0,0,0,0,0,0,0,0,29040,79,No,0,63,,150,0072
Esmeralda,Molina,Carpio,Mujer,1927-09-15,1927,jacinto41@example.com,+34 847 14 12 84,Álava,55435524-O,0,0,0,0,0,0,0,0,35155,96,No,0,54,,101,0073
Merche,Aguirre,Palau,Mujer,1911-09-10,1911,chelomedina@example.org,+34974 515 639,León,67071947-H,0,0,0,0,0,0,0,0,41004,112,No,0,45,,129,0074
Macaria,Arias,Plaza,Mujer,1909-09-24,1909,leandro69@example.org,+34984129708,Málaga,28963160-S,0,0,0,0,0,0,0,0,41720,114,No,0,22,,133,0075
Eufemia,Blanes,Matas,Mujer,1932-04-01,1932,gonzaloaurora@example.net,+34977 75 69 09,Cáceres,26854836-I,0,0,0,0,0,0,0,0,33495,91,No,0,16,,112,0076
Álvaro,Martin,Segovia,Hombre,1957-08-16,1957,augustomarquez@example.com,+34 923 257 285,Navarra,43162002-A,0,0,0,0,0,0,0,0,24227,66,No,0,23,,136,0077
Javi,Pallarès,Álamo,Hombre,1916-07-21,1916,gramirez@example.net,+34 901866672,León,23415530-I,0,0,0,0,0,0,0,0,39228,107,No,0,2,,129,0078
Benita,Yáñez,Viñas,Mujer,1954-02-09,1954,berrocalmaxi@example.com,+34972665000,Girona,52353691-N,0,0,0,0,0,0,0,0,25511,69,No,0,97,,122,0079
Alfonso,Escamilla,Alcázar,Hombre,1925-05-04,1925,marinahierro@example.com,+34 983400363,Palencia,45386148-C,0,0,0,0,0,0,0,0,36019,98,No,0,64,,138,0080
Alfonso,Agustín,Gordillo,Hombre,1926-08-22,1926,sbermudez@example.org,+34949176650,Ceuta,63958989-D,0,0,0,0,0,0,0,0,35544,97,No,0,4,,116,0081
Carlito,Elías,Bueno,Hombre,1958-11-07,1958,gaspar75@example.com,+34926 027 314,Castellón,95999262-I,0,0,0,0,0,0,0,0,23779,65,No,0,53,,115,0082
Constanza,Escolano,Vélez,Mujer,1922-09-04,1922,bernardomorillo@example.org,+34806183830,Valladolid,42861922-M,0,0,0,0,0,0,0,0,36992,101,No,0,8,,150,0083
Zaira,Perelló,Fuente,Mujer,1945-03-04,1945,vivianagutierrez@example.org,+34 844 64 98 37,Málaga,62510185-X,0,0,0,0,0,0,0,0,28775,78,No,0,54,,133,0084
Ángeles,Losa,Murcia,Mujer,1930-04-05,1930,goicoechearuy@example.net,+34 875 112 898,Lleida,85008965-P,0,0,0,0,0,0,0,0,34222,93,No,0,8,,130,0085
Gil,Solsona,Oller,Hombre,1954-05-24,1954,borja28@example.org,+34843 276 292,Lugo,57031138-I,0,0,0,0,0,0,0,0,25407,69,No,0,71,,131,0086
Liliana,Cerro,Piña,Mujer,1948-05-11,1948,rolando06@example.org,+34824 085 412,Barcelona,47299583-T,0,0,0,0,0,0,0,0,27611,75,No,0,28,,109,0087
Gala,Aparicio,Serrano,Mujer,1917-03-05,1917,lupitavaquero@example.net,+34 979 393 674,Zaragoza,58593288-A,0,0,0,0,73,0,0,0,39001,106,No,0,69,,152,0088
Miguel,Agustí,Baró,Hombre,1959-01-10,1959,earjona@example.org,+34949 90 35 20,Madrid,30428913-V,0,0,0,0,0,0,0,0,23715,64,No,0,55,,132,0089
Anita,Prats,Español,Mujer,1909-12-17,1909,emorcillo@example.org,+34 819309455,Valencia,61816506-Y,0,0,0,0,0,0,0,0,41636,113,No,0,5,,149,0090
Clementina,Sancho,Olivé,Mujer,1947-02-07,1947,villalobosbernardita@example.net,+34827786189,Jaén,66449253-N,0,0,0,0,0,0,0,0,28070,76,No,0,96,,127,0091
Morena,Albero,Chico,Mujer,1919-09-27,1919,campoafrica@example.com,+34 911179811,Girona,44236050-O,0,0,0,0,0,0,0,0,38065,104,No,0,48,,122,0092
Samanta,Andrés,Artigas,Mujer,1911-12-29,1911,mendezmanola@example.com,+34 944 491 309,Huelva,88874373-D,0,0,0,0,0,0,0,0,40894,111,No,0,39,,125,0093
Ezequiel,Torres,Alcaraz,Hombre,1935-06-26,1935,mayte26@example.com,+34 921 266 409,Alicante,22822465-D,0,0,0,0,0,0,0,0,32314,88,No,0,85,,103,0094
Rosa,Olivares,Carranza,Mujer,1951-02-21,1951,rosalinda28@example.org,+34 886 395 566,León,23004002-I,0,0,0,0,0,0,0,0,26595,72,No,0,40,,129,0095
Azucena,Zorrilla,Trillo,Mujer,1933-11-09,1933,pepe44@example.net,+34 845 68 61 31,Valencia,34443369-Z,0,0,0,0,0,0,0,0,32908,90,No,0,42,,149,0096
Florencia,Frías,Ramis,Mujer,1949-12-21,1949,vicenta38@example.org,+34 927083681,Asturias,47210435-Z,0,0,0,0,0,0,0,0,27022,73,No,0,12,,105,0097
Elena,Acuña,Carbonell,Mujer,1903-01-17,1903,isaias69@example.net,+34868 529 648,Sevilla,62594075-L,0,0,0,0,0,0,0,0,44162,120,No,0,72,,144,0098
Herminia,Villalobos,Rodrigo,Mujer,1914-10-09,1914,torochus@example.com,+34845990838,Ourense,14214721-B,0,0,0,0,0,0,0,0,39879,109,No,0,81,,137,0099
Conrado,Gilabert,Ferrán,Hombre,1927-04-22,1927,qpedrosa@example.org,+34702 99 69 36,Castellón,31623125-B,0,0,0,0,0,0,0,0,35301,96,No,0,40,,115,0100
Bartolomé,Ariño,Murillo,Hombre,1903-05-23,1903,yaiza54@example.net,+34 844 736 271,Gipuzkoa,28847240-G,0,0,0,0,0,0,0,0,44036,120,No,0,25,,121,0101
Pascual,Montes,Hidalgo,Hombre,1942-04-01,1942,oarrieta@example.org,+34 973 283 248,Cáceres,39850759-N,0,0,0,0,0,0,0,0,29843,81,No,0,100,,112,0102
Nicolasa,Piquer,Calzada,Mujer,1914-08-31,1914,adelaruano@example.com,+34879628112,Lleida,79424417-H,0,0,0,0,0,0,0,0,39918,109,No,0,91,,130,0103
Martina,Toro,Camino,Mujer,1911-04-12,1911,chaconoriana@example.org,+34969 211 032,Sevilla,21914283-B,0,0,0,0,0,0,0,0,41155,112,No,0,62,,144,0104
Sandra,Marín,Jurado,Mujer,1928-05-28,1928,adolfo08@example.net,+34879278828,Santa Cruz de Tenerife,64784106-K,0,0,0,0,0,0,0,0,34899,95,No,0,15,,142,0105
Nilo,Carbajo,Julián,Hombre,1935-06-12,1935,manola39@example.com,+34 846 47 23 17,Bizkaia,87148775-Z,0,0,0,0,0,0,0,0,32328,88,No,0,85,,110,0106
Guadalupe,Toro,Maestre,Hombre,1959-01-28,1959,alegriaalbino@example.net,+34 886 128 566,Badajoz,12158040-Y,0,0,43,0,0,0,0,0,23697,64,No,0,97,,107,0107
Lara,Palomino,Varela,Mujer,1936-09-25,1936,samantaguillen@example.net,+34982 737 122,Ceuta,82804793-T,0,0,0,0,0,0,0,0,31857,87,No,0,56,,116,0108
Andrés,Oliva,Campos,Hombre,1962-11-25,1962,jose-antoniocobos@example.org,+34 923022407,Segovia,35748227-V,0,0,0,0,0,0,0,0,22300,61,No,0,82,,143,0109
Régulo,Girona,Cuesta,Hombre,1941-02-02,1941,francisca68@example.org,+34800 48 59 42,Gipuzkoa,28000945-L,0,0,0,0,0,0,0,0,30266,82,No,0,2,,121,0110
Pánfilo,Quiroga,Aranda,Hombre,1952-01-26,1952,mmascaro@example.net,+34843 285 850,Barcelona,44283305-B,0,0,0,0,0,0,0,0,26256,71,No,0,48,,109,0111
Macaria,Mir,Ramos,Mujer,1934-07-03,1934,arinomiguela@example.org,+34944 06 54 81,Teruel,37104202-S,0,0,0,0,0,0,0,0,32672,89,No,0,47,,147,0112
Maite,Valbuena,Navarrete,Mujer,1959-03-16,1959,jesusa95@example.org,+34875764869,Segovia,55763879-P,0,0,0,0,0,0,0,0,23650,64,No,0,61,2022-02-25,143,0113
Cruz,Aguilera,Losada,Mujer,1918-06-06,1918,luis-miguel38@example.net,+34 883022279,Córdoba,50252014-U,0,0,0,0,0,0,0,0,38543,105,No,0,22,,118,0114
Candelas,Escrivá,Carreño,Mujer,1908-12-10,1908,pradaabraham@example.net,+34849 593 897,Toledo,24238777-R,0,0,0,0,0,0,0,0,42008,115,No,0,92,,148,0115
Martirio,Bauzà,Cornejo,Mujer,1926-04-12,1926,gleon@example.net,+34 878809145,Zaragoza,16733916-E,0,0,0,0,0,0,0,0,35676,97,No,0,49,,152,0116
Joaquina,Noguera,Martin,Mujer,1907-02-21,1907,perlitaalarcon@example.com,+34986 229 507,"Balears, Illes",80378121-F,0,0,0,0,0,0,0,0,42666,116,No,0,13,,108,0117
Joaquín,Blanca,Villalobos,Hombre,1935-11-01,1935,dominga11@example.com,+34 887 15 86 83,Cáceres,78665945-H,0,0,0,0,0,0,0,0,32186,88,No,0,34,,112,0118
Etelvina,Solera,Correa,Mujer,1919-09-24,1919,crosell@example.org,+34923201333,Cantabria,11974848-C,0,0,0,0,0,0,0,0,38068,104,No,0,4,,114,0119
Loreto,Olmedo,Alfaro,Hombre,1958-05-20,1958,yquerol@example.com,+34886 312 417,Gipuzkoa,80439966-W,0,0,0,0,0,0,0,0,23950,65,No,0,99,,121,0120
Pastora,Larrea,Agudo,Mujer,1909-10-19,1909,roigguillermo@example.net,+34875 06 35 22,Murcia,29791104-S,0,0,0,0,32,0,0,0,41695,114,No,0,13,,135,0121
Eliseo,Rivero,Samper,Hombre,1907-08-01,1907,gibertfulgencio@example.com,+34844 57 18 30,Cádiz,92348813-L,0,0,0,0,0,0,0,0,42505,116,No,0,62,,113,0122
Demetrio,Iborra,Alcalde,Hombre,1946-03-06,1946,ileanafrutos@example.org,+34 981146556,Sevilla,21236207-F,0,0,0,0,0,0,0,0,28408,77,No,0,2,,144,0123
Eligio,Galiano,Frutos,Hombre,1941-04-21,1941,fulgenciobolanos@example.com,+34 976 78 98 02,Pontevedra,51230748-K,0,0,0,0,0,0,0,0,30188,82,No,0,76,,140,0124
Germán,Méndez,Grau,Hombre,1954-07-26,1954,lastramaribel@example.com,+34928 019 113,Salamanca,75978260-U,0,0,0,0,0,0,0,0,25344,69,No,0,42,,141,0125
Tadeo,Carro,Cisneros,Hombre,1961-02-08,1961,climacoaviles@example.com,+34 827 83 83 64,Teruel,18863687-L,0,0,0,0,0,0,0,0,22955,62,No,0,54,,147,0126
Nando,Asenjo,Sánchez,Hombre,1941-10-06,1941,campoyluis-miguel@example.com,+34806141697,Zamora,26906505-P,0,0,0,0,0,0,0,0,30020,82,No,0,31,,151,0127
Mirta,Burgos,Salcedo,Mujer,1961-02-26,1961,carrerasyesica@example.com,+34871 03 34 54,Jaén,73510480-E,0,0,0,0,0,0,0,0,22937,62,No,0,1,,127,0128
Concha,Villanueva,Quevedo,Mujer,1927-10-02,1927,hernandopeiro@example.org,+34670 921 367,"Palmas, Las",21134588-U,0,0,0,0,0,0,0,0,35138,96,No,0,4,,139,0129
Aroa,Arellano,Alemany,Mujer,1913-09-06,1913,jose-mariamonreal@example.org,+34 876 57 16 66,Zamora,90306222-G,0,0,0,0,0,0,0,0,40277,110,No,0,57,,151,0130
Dani,Hernando,Aliaga,Hombre,1961-03-28,1961,glauco35@example.org,+34871 507 506,Cáceres,92057894-G,0,0,0,0,0,0,0,0,22907,62,No,0,100,,112,0131
Antonia,Dávila,Carbajo,Mujer,1942-12-19,1942,vjara@example.net,+34747313437,Ceuta,44589712-Y,0,16,0,0,0,0,0,0,29581,80,No,0,91,,116,0132
Pacífica,Piquer,Roura,Mujer,1919-01-31,1919,aalvarez@example.org,+34 971 62 77 78,Salamanca,76313827-F,0,0,0,0,0,0,0,0,38304,104,No,0,39,,141,0133
Dimas,Folch,Muñoz,Hombre,1953-04-28,1953,vegapalmira@example.com,+34 874 85 07 23,Almería,26472967-B,0,0,0,0,0,0,0,0,25798,70,No,0,82,,104,0134
Sabina,Marín,Cal,Mujer,1909-09-04,1909,bernabe00@example.com,+34 880480344,"Balears, Illes",56582115-F,0,0,0,0,0,0,0,0,41740,114,No,0,88,,108,0135
Yaiza,Anguita,Tamayo,Mujer,1914-10-16,1914,manuelaprada@example.com,+34845818820,Lleida,83678528-Y,0,0,0,0,0,0,0,0,39872,109,No,0,72,,130,0136
Georgina,Alcalde,Cerdán,Mujer,1925-09-09,1925,maxima27@example.net,+34 842483845,Cuenca,17084043-P,0,0,0,0,0,0,0,0,35891,98,No,0,4,,120,0137
Dan,Palomo,Campos,Hombre,1928-12-23,1928,amorcillo@example.net,+34 847 735 097,Madrid,91749197-H,0,0,0,0,0,0,0,0,34690,94,No,0,19,,132,0138
Ana,Salazar,Mate,Mujer,1920-09-13,1920,ximena35@example.net,+34 985 37 94 21,Málaga,96494513-L,0,0,0,0,0,0,0,0,37713,103,No,0,81,2022-07-21,133,0139
Claudia,Pino,Gabaldón,Mujer,1918-12-25,1918,igallardo@example.net,+34 944 100 689,Zamora,26519819-B,0,0,0,0,0,0,0,0,38341,104,No,0,47,,151,0140
Merche,Ramirez,Boada,Mujer,1960-03-08,1960,hugo81@example.net,+34 845 337 114,Granada,12733697-P,0,0,0,0,0,0,0,0,23292,63,No,0,86,,123,0141
Ileana,Puga,Domínguez,Mujer,1913-02-27,1913,ferreroclaudio@example.org,+34978940980,Málaga,81753140-O,0,0,0,0,0,0,0,0,40468,110,No,0,7,,133,0142
Abraham,Blázquez,Berrocal,Hombre,1931-03-20,1931,tomemercedes@example.com,+34986 23 85 30,Soria,35228796-S,0,0,0,0,0,0,0,0,33873,92,No,0,10,,145,0143
Belén,Salvador,Caballero,Mujer,1914-11-01,1914,hermenegildorocamora@example.com,+34 735 06 31 88,Jaén,24842519-N,0,0,0,0,0,0,0,0,39856,109,No,0,97,,127,0144
